customer_id,segment,score,review_flag
1001,retail,18,false
1002,retail,24,false
1003,retail,31,false
1004,retail,43,false
1005,retail,55,true
1006,retail,67,true
1007,small_business,22,false
1008,small_business,36,false
1009,small_business,48,true
1010,small_business,52,false
1011,small_business,64,true
1012,small_business,79,true
1013,enterprise,15,false
1014,enterprise,29,false
1015,enterprise,41,false
1016,enterprise,46,true
1017,enterprise,58,true
1018,enterprise,72,true
1019,public_sector,33,false
1020,public_sector,49,true
1021,public_sector,61,true
1022,public_sector,88,true
1023,public_sector,45,false
1024,public_sector,54,true
